id,created_time,full_name,email,phone_number,company_name,city,state,country,lead_status,notes,campaign_name
fb_001,2026-05-11 10:01:00,Lead User 001,lead001@example.com,+919876543211,Company 2,Bangalore,Karnataka,India,No Answer,Test note for row 001,Eden Park Campaign
fb_002,2026-05-12 11:02:00,Lead User 002,lead002@example.com,+919876543212,Company 3,Delhi,Delhi,India,Not Interested,Test note for row 002,Leads on Demand
fb_003,2026-05-13 12:03:00,Lead User 003,lead003@example.com,+919876543213,Company 4,Pune,Maharashtra,India,Closed,Test note for row 003,Sarjapur Plots
fb_004,2026-05-14 13:04:00,Lead User 004,lead004@example.com,+919876543214,Company 5,Chennai,Tamil Nadu,India,Callback,Test note for row 004,Varah Swamy
fb_005,2026-05-15 14:05:00,Lead User 005,lead005@example.com,+919876543215,Company 6,Hyderabad,Telangana,India,Interested,Test note for row 005,Meridian Tower Launch
fb_006,2026-05-16 15:06:00,Lead User 006,lead006@example.com,+919876543216,Company 7,Mumbai,Maharashtra,India,No Answer,Test note for row 006,Eden Park Campaign
fb_007,2026-05-17 16:07:00,Lead User 007,lead007@example.com,+919876543217,Company 8,Bangalore,Karnataka,India,Not Interested,Test note for row 007,Leads on Demand
fb_008,2026-05-18 17:08:00,Lead User 008,lead008@example.com,+919876543218,Company 9,Delhi,Delhi,India,Closed,Test note for row 008,Sarjapur Plots
fb_009,2026-05-19 18:09:00,Lead User 009,lead009@example.com,+919876543219,Company 10,Pune,Maharashtra,India,Callback,Test note for row 009,Varah Swamy
fb_010,2026-05-20 09:10:00,Lead User 010,lead010@example.com,+919876543220,Company 11,Chennai,Tamil Nadu,India,Interested,Test note for row 010,Meridian Tower Launch
fb_011,2026-05-21 10:11:00,Lead User 011,lead011@example.com,+919876543221,Company 12,Hyderabad,Telangana,India,No Answer,Test note for row 011,Eden Park Campaign
fb_012,2026-05-22 11:12:00,Lead User 012,lead012@example.com,+919876543222,Company 1,Mumbai,Maharashtra,India,Not Interested,Test note for row 012,Leads on Demand
fb_013,2026-05-23 12:13:00,Lead User 013,lead013@example.com,+919876543223,Company 2,Bangalore,Karnataka,India,Closed,Test note for row 013,Sarjapur Plots
fb_014,2026-05-24 13:14:00,Lead User 014,lead014@example.com,+919876543224,Company 3,Delhi,Delhi,India,Callback,Test note for row 014,Varah Swamy
fb_015,2026-05-25 14:15:00,Lead User 015,lead015@example.com,+919876543225,Company 4,Pune,Maharashtra,India,Interested,Test note for row 015,Meridian Tower Launch
fb_016,2026-05-26 15:16:00,Lead User 016,lead016@example.com,+919876543226,Company 5,Chennai,Tamil Nadu,India,No Answer,Test note for row 016,Eden Park Campaign
fb_017,2026-05-27 16:17:00,Lead User 017,lead017@example.com,+919876543227,Company 6,Hyderabad,Telangana,India,Not Interested,Test note for row 017,Leads on Demand
fb_018,2026-05-28 17:18:00,Lead User 018,lead018@example.com,+919876543228,Company 7,Mumbai,Maharashtra,India,Closed,Test note for row 018,Sarjapur Plots
fb_019,2026-05-29 18:19:00,Lead User 019,lead019@example.com,+919876543229,Company 8,Bangalore,Karnataka,India,Callback,Test note for row 019,Varah Swamy
fb_020,2026-05-10 09:20:00,Lead User 020,lead020@example.com,+919876543230,Company 9,Delhi,Delhi,India,Interested,Test note for row 020,Meridian Tower Launch
fb_021,2026-05-11 10:21:00,Lead User 021,lead021@example.com,+919876543231,Company 10,Pune,Maharashtra,India,No Answer,Test note for row 021,Eden Park Campaign
fb_022,2026-05-12 11:22:00,Lead User 022,lead022@example.com,+919876543232,Company 11,Chennai,Tamil Nadu,India,Not Interested,Test note for row 022,Leads on Demand
fb_023,2026-05-13 12:23:00,Lead User 023,lead023@example.com,+919876543233,Company 12,Hyderabad,Telangana,India,Closed,Test note for row 023,Sarjapur Plots
fb_024,2026-05-14 13:24:00,Lead User 024,lead024@example.com,+919876543234,Company 1,Mumbai,Maharashtra,India,Callback,Test note for row 024,Varah Swamy
fb_025,2026-05-15 14:25:00,Lead User 025,lead025@example.com,+919876543235,Company 2,Bangalore,Karnataka,India,Interested,Test note for row 025,Meridian Tower Launch
fb_026,2026-05-16 15:26:00,Lead User 026,lead026@example.com,+919876543236,Company 3,Delhi,Delhi,India,No Answer,Test note for row 026,Eden Park Campaign
fb_027,2026-05-17 16:27:00,Lead User 027,lead027@example.com,+919876543237,Company 4,Pune,Maharashtra,India,Not Interested,Test note for row 027,Leads on Demand
fb_028,2026-05-18 17:28:00,Lead User 028,lead028@example.com,+919876543238,Company 5,Chennai,Tamil Nadu,India,Closed,Test note for row 028,Sarjapur Plots
fb_029,2026-05-19 18:29:00,Lead User 029,lead029@example.com,+919876543239,Company 6,Hyderabad,Telangana,India,Callback,Test note for row 029,Varah Swamy
fb_030,2026-05-20 09:30:00,Lead User 030,lead030@example.com,+919876543240,Company 7,Mumbai,Maharashtra,India,Interested,Test note for row 030,Meridian Tower Launch
